ingredient_extracted,ingredient_standardized,frecuencia
4 cucharadas de agua,4 cucharada de agua,3
zanahorias ralladas,zanahoria,3
vino tinto,vino tinto,3
vainilla,vainilla,3
oregano,oregano,3
nuez moscada,nuez moscada,3
costillas de res,costilla de res,3
crema,crema,3
sal y pimienta negro,sal y pimienta negro,3
sal y pimienta a su gusto,sal y pimienta a su gusto,3
salchichas,salchicha,3
mazorcas frescas de maiz con hojas,mazorca de maiz con hoja,3
queso costeno o queso feta,queso costeno o queso feta,3
caldo de res,caldo de res,3
chicharrones,chicharron,3
queso o cuajada,queso o cuajada,3
queso y mantequilla para servir,queso y mantequilla para servir,3
queso o queso blanco para servir,queso o queso para servir,3
pasas,pasa,3
pasta de guayaba,pasta de guayaba,3
queso o,queso,3
coca cola,coca cola,3
papas grandes peladas y,papa,3
cafe bien fuerte,cafe bien fuerte,3
azucar y 1 poco mas para adornar,azucar y 1 poco mas para adornar,3
queso mozarella o blanco,queso mozarella,3
bocadilllo de guayaba,bocadilllo de guayaba,3
bocadillo de guayaba,bocadillo de guayaba,3
queso costeno para servir,queso costeno para servir,3
chicharrones cocinados,chicharron cocinado,3
chocolate dulce,chocolate dulce,3
chocolate en polvo,chocolate en polvo,3
canela en polvo,canela en polvo,3
canela para servir,canela para servir,3
platanos bien maduros pelados y en 4 cada uno,platano,3
platanos bien maduros,platano,3
carne de cerdo pequenos,carne de cerdo,3
platano,platano,3
pita de cocina,pita de cocina,3
platanos grandes maduros,platano,3
platano y,platano,3
huevos a temperatura ambiente,huevo a temperatura ambiente,3
y 1/2 tazas de queso,1 2 taza de queso,3
yuca congelada o,yuca,3
1/2 tazas de agua,1 2 taza de agua,2
yuca ver receta,yuca,2
yuca grandes,yuca,2
yema de huevo,yema de huevo,2
y 1/4 cucharaditas de levadura,1 4 cucharadita de levadura,2
y 1/2 tazas de harina para todo uso,1 2 taza de harina para todo uso,2
aceite o mantequilla,aceite o mantequilla,2
hogao mira la receta,hogao mira la receta,2
hogao guacamole o aji para servir,hogao guacamole o aji para servir,2
harina tamizada,harina tamizada,2
huevo para el esmalte,huevo para el esmalte,2
huevo ligeramente,huevo ligeramente,2
huevo a temperatura ambiente,huevo a temperatura ambiente,2
hojuelas de pimienta roja,hojuela de pimienta,2
hojas de hojaldre descongelado,hoja de hojaldre descongelado,2
pitillo y cuchara para servir,pitillo y cuchara para servir,2
pin,pin,2
pimienton verde,pimienton verde,2
cebolla blanca en rebanadas finas,cebolla,2
cebolla blanca destrozado,cebolla,2
cascara de naranja,cascara de naranja,2
cascara de mandarina,cascara de mandarina,2
carne ver receta de carne aqui,carne ver receta de carne aqui,2
platanos maduros pelados enteros,platano,2
platanos maduros con cascara lavados y,platano,2
platanos maduros,platano,2
platanos grandes muy maduros,platano,2
platanos bien maduros pelados y,platano,2
platano de de 12 pulgadas de largo o papel de aluminio,platano,2
carne de falda de carne en porciones iguales,carne de falda de carne en porcion igual,2
carne para asar,carne para asar,2
carne o ropa vieja receta aqui,carne o ropa vieja receta aqui,2
pimienton,pimienton,2
pimienta recien,pimienta recien,2
cebolla y cilantro rojos para adornar,cebolla,2
