ingredient_extracted,ingredient_standardized,frecuencia
comino en polvo 1/2 cucharadita,comino,1
color o achiote,achiote,1
color achiote o sazon goya con azafran,achiote,1
color,color,1
coco o comprado,coco o comprado,1
papa blanca,papa,1
panes para perros,pan para perro,1
panela o guayaba pasta para servir,panela o guayaba pasta para servir,1
panela o azucar morena o a su gusto,panela o azucar morena o a su gusto,1
papas medianas peladas,papa,1
papas medianas,papa,1
clavos molidos,clavo,1
clavos enteros,clavo entero,1
clavos de olor,clavo de olor,1
claras de huevos grandes a temperatura ambiente,clara de huevo a temperatura ambiente,1
clara de huevo ligeramente,clara de huevo ligeramente,1
papas en cuatro cada una,papa,1
papas en 1 y 1/2 de pulgada,papa,1
papas blancas peladas y partidas,papa,1
papas blancas peladas y,papa,1
"papas blancas medianas, peladas y",papa,1
papas blancas medianas peladas y,papa,1
papas blancas medianas,papa,1
papas amarillas pequenas o papa criolla,papa criolla,1
papas amarillas peladas y,papa,1
papas rojas pequeunas parcialmente peladas,papa,1
papas rojas pequenas lavadas y sin pelar,papa,1
papas rojas pequenas,papa,1
"papas rojas medianas, peladas y",papa,1
papas rojas medianas peladas parcialmente,papa,1
papas rojas grandes peladas y,papa,1
papas pequeunas peladas y,papa,1
papas pequeunas peladas,papa,1
"papas pequenas enteras, peladas",papa,1
papas pequenas enteras peladas,papa,1
papas pequenas amarillas,papa,1
papas pequenas,papa,1
papas peladas y por la,papa,1
papas peladas y en 1 y 1/2 pulgadas piezas,papa,1
"papas medianas, peladas y a la",papa,1
papas medianas peladas y en pedazos,papa,1
cilantro con tallos,cilantro,1
chuletas de cerdo con hueso,chuleta de cerdo con hueso,1
chuleta valluna,chuleta valluna,1
chorizos o salchicha ahumada cortdos,chorizo o salchicha ahumada cortdo,1
chorizos desmenuzados,chorizo desmenuzado,1
chorizos colombianos,chorizo colombiano,1
chorizos cocidos,chorizo,1
chorizos,chorizo,1
chorizo para servir,chorizo para servir,1
chorizo,chorizo,1
chocolate semi dulce,chocolate semi dulce,1
pasta de cabello de angel en pedazos de 1 1/2 pulgadas,pasta de cabello de angel en pedazo de 1 1 2 pulgada,1
pasta corta codos o su favorito,pasta corta codo o su favorito,1
pasas a su gusto,pasa a su gusto,1
para servir chorizo aguacate o frijoles,frijol,1
para el lomo de cerdo,el lomo de cerdo,1
perejil con tallos,perejil con tallo,1
pedazos de yuca,yuca,1
"pechugas de pollo,con hueso y",pechuga de pollo con hueso,1
pechugas de pollo sin hueso y,pechuga de pollo sin hueso,1
pechugas de pollo deshuesadas y,pechuga de pollo deshuesada,1
pechugas de pollo con hueso y con piel,pechuga de pollo con hueso y con piel,1
pechugas de pollo con hueso 8 y muslos de pollo o las piernas,pollo,1
pechugas de pollo cocinado y,pechuga de pollo cocinado,1
patatas grandes peladas y cocidas,patata,1
patacones cocidos tostones,patacon toston,1
pasta penne,pasta penne,1
chocolate negro,chocolate negro,1
chocolate colombiano,chocolate colombiano,1
chips de chocolate,chip de chocolate,1
chicken bouillon cubes,chicken bouillon cub,1
champinones,champinon,1
cebollin dividido,cebollin dividido,1
cebolletas,cebolleta,1
cebollas verdes pequeunos,cebolla,1
cebollas verdes,cebolla,1
cebollas pequenas finas,cebolla,1
cebollas medianas,cebolla,1
cebollas largas solo parte blanca,cebolla,1
cebollas largas enteras,cebolla,1
cebollas largas en 2 pulgadas de largo,cebolla,1
cebollas larga en pedazos,cebolla,1
cebollas grandes cuarteadas,cebolla,1
cebollas blancas grandes,cebolla,1
pez espada o cualquier otro pescado firme medianos,pez espada o cualquier otro pescado firme,1
pescados,pescado,1
"pescado blanco pequenos halibut, tilapia o mahi mahi",pescado halibut tilapia o mahi mahi,1
perejil o cilantro,cilantro,1
carne salada,carne salada,1
carne para guiso,carne para guiso,1
carne para estofado,carne para estofado,1
pimentuon rojo,pimentuon,1
pimenton rojo en tiras delgadas,pimenton en tira delgada,1
pimenton amarillo,pimenton,1
piernas de pollo con hueso y la piel o pechugas de pollo,pierna de pollo con hueso y la piel o pechuga de pollo,1
pierna de cerdo con hueso o pernil de 10 a 12 libras,pierna de cerdo con hueso o pernil de 10 a 12 libra,1
piel de cerdo pieles,piel de cerdo piel,1
pezunas de cerdo,pezuna de cerdo,1
pezuna de cerdo,pezuna de cerdo,1
cebolla por la,cebolla,1
cebolla larga y mas para adornar,cebolla larga,1
cebolla larga para adornar,cebolla larga,1
cebolla de verde,cebolla,1
cebolla de rama,cebolla,1
carne de posta,carne de posta,1
carne de falda o,carne de falda,1
carne de cerdo pequeunos,carne de cerdo,1
carne de cerdo o costillas de cerdo,carne de cerdo,1
pita para amarrar los tamales,pita para amarrar los tamal,1
pinones,pinon,1
pina y de tamano,pina y de tamano,1
"pina pelada, de tamauno 1/2",pina de tamauno 1 2,1
pina para adornar,pina para adornar,1
pimientuon rojo,pimientuon,1
pimientuon,pimientuon,1
pimienton rojo dulce,pimienton rojo,1
cebolla blanca grandes,cebolla,1
cebolla amarilla,cebolla,1
cebada y remojada,cebada y remojada,1
carne tabla o falda,carne tabla o falda,1
carne de cerdo en 12 pedazos,carne de cerdo,1
carne de cerdo,carne de cerdo,1
"carne de bistec falda, en 4 porciones iguales",carne de bistec falda en 4 porcion igual,1
carne cerdo,carne cerdo,1
canela en polvo para servir,canela en polvo para servir,1
camarun y desvenado,camarun y desvenado,1
camarones pelados y,camaron,1
camarones medianos limpios y desvenados,camaron,1
camarones jumbo pelados y limpios,camaron,1
platano verde pequenos,platano,1
carne molida de cerdo y carne de res,carne de res,1
carne en polvo ver receta aqui,carne en polvo ver receta aqui,1
carne en polvo,carne en polvo,1
carne de sobrebarriga,carne de sobrebarriga,1
carne de res para guiso pequenos,carne de res,1
carne de res con sal,carne de res,1
caldo de verduras pollo de carne,caldo de verdura pollo de carne,1
caldo de verduras o de pollo,caldo de verdura o de pollo,1
caldo de verduras,caldo de verdura,1
caldo de res o pollo,caldo de res o pollo,1
caldo de pollo y mas si es necesario,caldo de pollo,1
polvo de ajo,polvo de ajo,1
polvo de achiote,achiote,1
pollo entero alrededor de 5 libras,pollo entero alrededor de 5 libra,1
pluatanos verdes pelados y grandes,pluatano,1
"platanos verdes, pelados y transversalmente en pedazos de 2 pulgadas",platano,1
platanos verdes pelados y transversalmente en pedazos de 2 pulgadas,platano,1
platanos verdes pelados y en tercios,platano,1
platanos verdes peladas y transversalmente en pedazos,platano,1
platanos verdes peladas y transversalmente,platano,1
platanos verdes peladas y,platano,1
carne de cerdo o costillas,carne de cerdo,1
caldo de camaron,camaron,1
calabazas medianas lavadas,calabaza,1
cafe instantaneo de buena calidad,cafe instantaneo de buena calidad,1
queso cheddar,queso cheddar,1
queso blanco,queso,1
pound frozen yuca cut into big pieces,yuca,1
"posta o muchacho de 3 a 4 libras, gruesas",posta o muchacho de 3 a 4 libra gruesa,1
polvo de comino,comino,1
camaron y desvenado,camaron,1
camaron sin pelar,camaron,1
"callos de res mondongo, pequeunos",callo de res mondongo pequeuno,1
callo o menudo,callo o menudo,1
caldo verduras o caldo de pollo,caldo de pollo,1
caldo verduras o caldo de pescado,caldo verdura o caldo de pescado,1
"caldo pollo carne o de verduras, o mas si es necesario",caldo pollo carne o de verdura o mas si es necesario,1
caldo pollo carne de res o de verduras,carne de res,1
brocoli cocinado,brocoli cocinado,1
brocoli,brocoli,1
brandy o ron a su gusto,brandy o ron a su gusto,1
bolsa de papas fritas trituradas,papa,1
bocadillo,bocadillo,1
bistec de falda y en 4 porciones iguales,bistec de falda y en 4 porcion igual,1
queso y 1 poco muas para servir,queso y 1 poco muas para servir,1
queso parmesano o semillas de sesamo,queso parmesano,1
queso parmesano,queso parmesano,1
queso o queso costeno,queso o queso costeno,1
caldo de pollo verduras o de carne,caldo de pollo,1
caldo de pollo o vegetal,caldo de pollo,1
caldo de pollo o de res,caldo de pollo,1
caldo de pollo o carne de res,caldo de pollo,1
caldo de pescado,caldo de pescado,1
caldo de carne o vegetales,caldo de carne,1
azucar o el gusto,azucar o el gusto,1
azucar en polvo dividida,azucar en polvo dividida,1
azucar el pocillo,azucar el pocillo,1
ron o,ron,1
ron blanco a tu gusto,ron a tu gusto,1
ron a su gusto yo uso 1 taza de ron para mi receta y mi mama utiliza alrededor de 2 tazas para la de ella.,ron a su gusto yo uso 1 taza de ron para mi receta y mi mama utiliza alrededor de 2 taza para la de ella,1
ron a su gusto,ron a su gusto,1
res,res,1
relleno,relleno,1
big whole chicken,big whole chicken,1
batata y,batata,1
bacalao o trucha,bacalao o trucha,1
bacalao o pescado salado,bacalao o pescado salado,1
azuucar a su gusto,azuucar a su gusto,1
cafe fuerte,cafe fuerte,1
cafe elaborado cerveza oscuro,cafe elaborado cerveza oscuro,1
arvejas frescos o congelados,arveja o congelado,1
arvejas congelados,arveja congelado,1
arvejas congeladas,arveja congelada,1
arvejas amarillas o verdes,arveja,1
arveja,arveja,1
arroz sin cocinar,arroz sin cocinar,1
salsa de hogao,salsa de hogao,1
salsa de aliunos receta aqui,salsa de aliuno receta aqui,1
salsa alinos ver receta aqui,salsa alino ver receta aqui,1
salsa alinos mira la receta,salsa alino mira la receta,1
salmon en 4 pedazos,salmon en 4 pedazo,1
salmon 4 a 6 oz cada uno,salmon 4 a 6 oz cada uno,1
"sal y pimienta,",sal y pimienta,1
sal y pimienta recien,sal y pimienta recien,1
azucar o miel a su gusto,azucar o miel a su gusto,1
azucar o mas si es necesario,azucar o mas si es necesario,1
sobrebarriga grandes,sobrebarriga,1
arroz de grano largo blanco,arroz de grano largo,1
arroz crudo enjuagado y,arroz crudo enjuagado,1
arroz cocinado,arroz cocinado,1
arroz blanco para servir,arroz para servir,1
arroz blanco cocinado,arroz cocinado,1
"arepas de maiz, cocinadas",arepa de maiz cocinada,1
arepas cocidas y,arepa,1
sazon con el color,sazon,1
sazon con azafran para el color,sazon con azafran para el color,1
sazon con achiote,achiote,1
salsa tabasco,salsa tabasco,1
salsa rosada receta aqui,salsa rosada receta aqui,1
salsa de hogao ver receta aqui,salsa de hogao ver receta aqui,1
azafran,azafran,1
arvejas recortadas,arveja recortada,1
almidon de maiz o maizena,almidon de maiz o maizena,1
almejas littleneck limpias,almeja littleneck,1
alcaparras para servir,alcaparra para servir,1
alcaparras,alcaparra,1
albahaca,albahaca,1
ajo triturados,ajo triturado,1
ajo pelados,ajo,1
tazas de tomate,tomate,1
taza de queso o queso campesino,taza de queso o queso campesino,1
taza de azucar granulada,taza de azucar granulada,1
tableta de caldo pollo o vegetales,tableta de caldo pollo o vegetal,1
tableta de caldo de verduras o pollo,tableta de caldo de verdura o pollo,1
tableta de caldo de res,tableta de caldo de res,1
tableta de caldo de pescado,tableta de caldo de pescado,1
solomito o lomo de 1/2 pulgadas,solomito o lomo de 1 2 pulgada,1
solomito o falda y pequeunos,solomito o falda y pequeuno,1
"ahuyamas o calabazas medianas peladas, y",ahuyama o calabaza,1
aguardiente colombiano,aguardiente colombiano,1
aguapanela,aguapanela,1
tocino de cerdo pequenos,tocino de cerdo,1
tocino carnudo en 12 pedazos,tocino carnudo en 12 pedazo,1
to rtillas de maiz,to rtilla de maiz,1
to mates pequenos pelados y,to mat,1
to mates medianos,to mat,1
to mates maduros,to mat maduro,1
to mates de arbol pelados,to mat de arbol,1
tilapias pequenas o pargo rojo limpios,tilapia o pargo,1
tercio de taza de cilantro,cilantro,1
tequila o,tequila,1
teaspoon salt,teaspoon salt,1
teaspoon ground pepper,teaspoon ground pepper,1
arepas asadas,arepa asada,1
vieiras,vieira,1
"vegetales mixtos congelados maiz habichuelas, arverjas y zanahorias",zanahoria,1
aguacates maduros pequenos,aguacat maduro,1
aguacates maduros pelados y machacados,aguacat maduro y machacado,1
aguacates,aguacat,1
aguacate y salsa picante para servir,aguacate y salsa picante para servir,1
aguacate y picado.,aguacate,1
agua y sal para cocinar los tamales,agua y sal para cocinar los tamal,1
agua o a su gusto,agua o a su gusto,1
uchuvas,uchuva,1
tomates triturados,tomate,1
tomates de arbol o tamarillo,tomate,1
tomate y,tomate,1
ajo enteros,ajo entero,1
aji picante rojo,aji picante,1
aji dulce,aji dulce,1
yuca y pequenos,yuca,1
1/2 libra de yuca congelada o,yuca,1
1/4 cucharadita de sal,1 4 cucharadita de sal,1
yuca congeladas grandes,yuca,1
yemas de huevo batidas,yema de huevo batida,1
y 1/4 tazas de maicena,1 4 taza de maicena,1
y 1/2 tazas de hielo,1 2 taza de hielo,1
y 1/2 tazas de cebolla larga,cebolla larga,1
aceite vegetal o de canola para cocinar el pescado,aceite vegetal,1
aceite vegetal o canola,aceite vegetal,1
aceite para cocinar a las albondigas,aceite para cocinar a las albondiga,1
aceite en spray para cocinar,aceite en spray para cocinar,1
aceite en aerosol para preparar el pan,aceite en aerosol para preparar el pan,1
aceite en aerosol para cocinar el pollo,aceite en aerosol para cocinar el pollo,1
aceite de canola o vegetal,aceite de canola o vegetal,1
aceite canola o aceite vegetal,aceite vegetal,1
huevo con 1 cucharada de agua,huevo con 1 cucharada de agua,1
hojuelas de pimienton rojo,pimienton rojo,1
hojuelas de avena,hojuela de avena,1
hojas de platanos de 15 pulgadas de largo,platano,1
hojas de hojaldre congelado descongeladas,hoja de hojaldre congelado descongelada,1
hojas de cilantro ademas de mas para servir,cilantro,1
1/4 libras de pechugas de pollo,1 4 libra de pechuga de pollo,1
zanahorias medianas peladas y rebanadas,zanahoria,1
zanahorias grandes peladas y en tajadas,zanahoria,1
zanahorias grandes en tajadas,zanahoria,1
zanahorias grandes,zanahoria,1
zanahorias en rebanadas,zanahoria,1
zanahorias congeladas habichuelas y arvejas,zanahoria,1
zanahoria en tiras finas,zanahoria,1
zanahoria,zanahoria,1
"yuca, y grandes",yuca,1
